name,mgmt_ip,device_type,vendor,model,credential_profile,port
SH-MH-601-H05U19-H3CS9825-G1-A03005,10.252.80.88,switch,h3c,S9825,default,22
SH-MH-601-H05U14-H3CS9825-G1-A03006,10.252.80.89,switch,h3c,S9825,default,22
SH-MH-601-H05U9-H3CS9825-G1-A03007,10.252.80.90,switch,h3c,S9825,default,22
SH-MH-601-H05U4-H3CS9825-G1-A03008,10.252.80.91,switch,h3c,S9825,default,22
SH-MH-601-H06U39-H3CS9825-G1-A03009,10.252.80.92,switch,h3c,S9825,default,22
SH-MH-601-H06U34-H3CS9825-G1-A03010,10.252.80.93,switch,h3c,S9825,default,22
SH-MH-601-H06U29-H3CS9825-G1-A03011,10.252.80.94,switch,h3c,S9825,default,22
SH-MH-601-H06U24-H3CS9825-G1-A03012,10.252.80.95,switch,h3c,S9825,default,22
SH-MH-601-H06U19-H3CS9825-G1-A03013,10.252.80.96,switch,h3c,S9825,default,22
SH-MH-601-H06U14-H3CS9825-G1-A03014,10.252.80.97,switch,h3c,S9825,default,22
SH-MH-601-H06U9-H3CS9825-G1-A03015,10.252.80.98,switch,h3c,S9825,default,22
SH-MH-601-H06U4-H3CS9825-G1-A03016,10.252.80.99,switch,h3c,S9825,default,22
SH-MH-601-H07U39-H3CS9825-G1-A03017,10.252.80.100,switch,h3c,S9825,default,22
SH-MH-601-H07U34-H3CS9825-G1-A03018,10.252.80.101,switch,h3c,S9825,default,22
SH-MH-601-H07U29-H3CS9825-G1-A03019,10.252.80.102,switch,h3c,S9825,default,22
SH-MH-601-H07U24-H3CS9825-G1-A03020,10.252.80.103,switch,h3c,S9825,default,22
SH-MH-601-H07U19-H3CS9825-G1-A03021,10.252.80.104,switch,h3c,S9825,default,22
SH-MH-601-H07U14-H3CS9825-G1-A03022,10.252.80.105,switch,h3c,S9825,default,22
SH-MH-601-H07U9-H3CS9825-G1-A03023,10.252.80.106,switch,h3c,S9825,default,22
SH-MH-601-H07U4-H3CS9825-G1-A03024,10.252.80.107,switch,h3c,S9825,default,22
SH-MH-601-H09U39-H3CS9825-G1-A03025,10.252.80.108,switch,h3c,S9825,default,22
SH-MH-601-H09U34-H3CS9825-G1-A03026,10.252.80.109,switch,h3c,S9825,default,22
SH-MH-601-H09U29-H3CS9825-G1-A03027,10.252.80.110,switch,h3c,S9825,default,22
SH-MH-601-H09U24-H3CS9825-G1-A03028,10.252.80.111,switch,h3c,S9825,default,22
SH-MH-601-H09U19-H3CS9825-G1-A03029,10.252.80.112,switch,h3c,S9825,default,22
SH-MH-601-H09U14-H3CS9825-G1-A03030,10.252.80.113,switch,h3c,S9825,default,22
SH-MH-601-H09U9-H3CS9825-G1-A03031,10.252.80.114,switch,h3c,S9825,default,22
SH-MH-601-H09U4-H3CS9825-G1-A03032,10.252.80.115,switch,h3c,S9825,default,22
SH-MH-601-J07U39-H3CS9825-G1-A04001,10.252.80.116,switch,h3c,S9825,default,22
SH-MH-601-J07U34-H3CS9825-G1-A04002,10.252.80.117,switch,h3c,S9825,default,22
SH-MH-601-J07U29-H3CS9825-G1-A04003,10.252.80.118,switch,h3c,S9825,default,22
SH-MH-601-J07U24-H3CS9825-G1-A04004,10.252.80.119,switch,h3c,S9825,default,22
SH-MH-601-J07U19-H3CS9825-G1-A04005,10.252.80.120,switch,h3c,S9825,default,22
SH-MH-601-J07U14-H3CS9825-G1-A04006,10.252.80.121,switch,h3c,S9825,default,22
SH-MH-601-J07U9-H3CS9825-G1-A04007,10.252.80.122,switch,h3c,S9825,default,22
SH-MH-601-J07U4-H3CS9825-G1-A04008,10.252.80.123,switch,h3c,S9825,default,22
SH-MH-601-J08U39-H3CS9825-G1-A04009,10.252.80.124,switch,h3c,S9825,default,22
SH-MH-601-J08U34-H3CS9825-G1-A04010,10.252.80.125,switch,h3c,S9825,default,22
SH-MH-601-J08U29-H3CS9825-G1-A04011,10.252.80.126,switch,h3c,S9825,default,22
SH-MH-601-J08U24-H3CS9825-G1-A04012,10.252.80.127,switch,h3c,S9825,default,22
SH-MH-601-J08U19-H3CS9825-G1-A04013,10.252.80.128,switch,h3c,S9825,default,22
SH-MH-601-J08U14-H3CS9825-G1-A04014,10.252.80.129,switch,h3c,S9825,default,22
SH-MH-601-J08U9-H3CS9825-G1-A04015,10.252.80.130,switch,h3c,S9825,default,22
SH-MH-601-J08U4-H3CS9825-G1-A04016,10.252.80.131,switch,h3c,S9825,default,22
SH-MH-601-J09U39-H3CS9825-G1-A04017,10.252.80.132,switch,h3c,S9825,default,22
SH-MH-601-J09U34-H3CS9825-G1-A04018,10.252.80.133,switch,h3c,S9825,default,22
SH-MH-601-J09U29-H3CS9825-G1-A04019,10.252.80.134,switch,h3c,S9825,default,22
SH-MH-601-J09U24-H3CS9825-G1-A04020,10.252.80.135,switch,h3c,S9825,default,22
SH-MH-601-J09U19-H3CS9825-G1-A04021,10.252.80.136,switch,h3c,S9825,default,22
SH-MH-601-J09U14-H3CS9825-G1-A04022,10.252.80.137,switch,h3c,S9825,default,22
SH-MH-601-J09U9-H3CS9825-G1-A04023,10.252.80.138,switch,h3c,S9825,default,22
